Spring 2021-2022(202220),21764,LDEM,204,1,St.IV:Cultural Lanscape Design,6,6,AG,4,16,1400,1759,REYNOL,109,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21765,LDEM,208,1,Landscape Architect.Hist. II,3,3,AG,7,5,1130,1245,REYNOL,103,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,George,Battikha,,,
Spring 2021-2022(202220),21766,LDEM,211,1,Landscape Horticulture,3,3,AG,1,11,1400,1450,AGRIC,211,.,T,.,.,F,.,.,1400,1650,AGRIC,211,.,.,.,R,.,.,.,Monika,Fabian,,,
Spring 2021-2022(202220),21767,LDEM,216,1,St.II:Lanscape Garden Design,4,4,AG,0,20,0900,1256,REYNOL,108,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21768,LDEM,217,1,Soils in the Landscape,3,3,AG,1,14,1000,1259,.,.,.,.,.,R,.,.,.,1400,1450,REYNOL,103,M,.,W,.,.,.,.,Rami,Zurayk,,,
Spring 2021-2022(202220),21769,LDEM,242,1,St.VIII:Landsca.Capstone Pr.II,6,6,AG,6,19,1400,1759,REYNOL,208,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Yaser,Abunnasr,,,
Spring 2021-2022(202220),21770,LDEM,246,1,St.VI:Natural Landscape Design,6,6,AG,4,16,1400,1759,REYNOL,209,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Beata,Dreksler,,,
Spring 2021-2022(202220),21771,LDEM,248,1,Site Eng'g II-Constr.Material,3,3,AG,4,16,1000,1115,REYNOL,103,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21772,LDEM,262,1,Healing Nature,3,3,AG,19,1,1200,1315,AGRIC,310,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Salma,Talhouk,,,
Spring 2021-2022(202220),21773,LDEM,263,1,Landsc.Appreciat&Site Analysis,3,3,AG,4,16,0900,1159,REYNOL,109,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Beata,Dreksler,,,
Spring 2021-2022(202220),21774,LDEM,264,1,Interior Landscaping,3,3,AG,4,11,0900,0959,REYNOL,103,.,.,.,.,F,.,.,1000,1259,.,.,.,.,.,.,F,.,.,Monika,Fabian,,,
Spring 2021-2022(202220),21775,LDEM,265,1,Landscape Management,3,3,AG,5,7,1000,1115,AGRIC,.,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Salma,Talhouk,,,
Spring 2021-2022(202220),21776,LDEM,290,1,Professional Practice,3,3,AG,5,7,1000,1115,REYNOL,109,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21777,LDEM,291,1,Surveying & Base Plan Develop.,3,3,AG,0,20,0900,1055,AGRIC,203,.,.,.,.,.,S,.,1100,1400,AGRIC,203,.,.,.,.,.,S,.,Halim,Nader,,,
Spring 2021-2022(202220),21778,LDEM,302,1,Green Infra-Landscapes &Cities,3,3,AG,10,0,1100,1215,AGRIC,302,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Yaser,Abunnasr,,,
Spring 2021-2022(202220),21779,LDEM,630,1,Natural Resource Management,3,3,AG,8,2,1600,1715,AGRIC,.,.,T,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
